Product,Type,Release Date,Process Size,TDP,Die Size,Transistors,Freq,Vendor
Intel Core 2 Duo E4600,CPU,10/21/07,65,65,111,167,2400,Intel
Intel Xeon E7-8893 v3,CPU,6/1/15,22,140,160,1400,3200,Intel
Intel Core i7-620M,CPU,1/7/10,32,35,81,384,2677,Intel
AMD Phenom II X3 B75,CPU,10/1/09,45,95,258,758,3000,AMD
AMD Athlon 64 3000+,CPU,4/27/04,130,89,144,69,1800,AMD
AMD Athlon 64 3200+,CPU,1/1/01,130,89,193,105,2200,AMD
Intel Xeon 3.06,CPU,7/14/03,130,97,237,286,3066,Intel
Intel Pentium 4 HT 520,CPU,6/21/04,90,84,109,125,2800,Intel
AMD Athlon 64 FX-51,CPU,9/23/03,130,89,193,105,2200,AMD
Intel Xeon E3-1280 v5,CPU,10/19/15,14,80,160,1400,3700,Intel
AMD Athlon II X3 455,CPU,12/7/10,45,95,169,300,3300,AMD
Intel Pentium 4 2.0,CPU,1/1/01,130,110,146,55,2000,Intel
AMD Ryzen 7 2700,CPU,4/19/18,12,65,192,4800,3200,AMD
Intel Celeron 2.30,CPU,3/31/03,130,73,146,55,2300,Intel
AMD Athlon 750,CPU,6/5/00,180,43,120,37,750,AMD
AMD Sempron 150,CPU,12/7/10,45,45,117,234,2900,AMD
AMD Athlon 1200,CPU,10/31/00,180,66,120,37,1200,AMD
Intel Core 2 Duo T7600G,CPU,12/27/06,65,35,143,293,2333,Intel
Intel Core i7-3970X,CPU,11/1/12,32,150,435,2270,3500,Intel
AMD Mobile Athlon 64 3400+,CPU,8/1/05,130,62,193,106,2200,AMD
AMD Opteron 6168,CPU,3/29/10,45,115,346,1800,1900,AMD
AMD Athlon XP 2800+ DTR,CPU,1/1/01,130,68,101,63,2083,AMD
Intel Atom E660,CPU,9/14/10,45,3,26,47,1300,Intel
Intel Core i5-3475S,CPU,6/1/12,22,65,160,1400,2900,Intel
AMD Athlon 64 FX-74,CPU,11/30/06,90,125,235,227,3000,AMD
Intel Atom N280,CPU,6/3/08,45,3,26,47,1667,Intel
AMD Turion 64 ML-40,CPU,6/22/05,90,35,125,114,2200,AMD
Intel Celeron 2.80,CPU,11/3/03,130,73,146,55,2800,Intel
Intel Pentium G630T,CPU,9/4/11,32,35,131,504,2300,Intel
AMD Phenom II X3 B73,CPU,10/1/09,45,95,258,758,2800,AMD
AMD Ryzen 3 1300X,CPU,7/27/17,14,65,192,4800,3400,AMD
Intel Pentium M 715,CPU,6/23/04,90,21,84,140,1500,Intel
Intel Pentium D 840 EE,CPU,5/1/05,90,130,206,169,3200,Intel
AMD Athlon X2 4050e,CPU,4/21/08,65,45,126,154,2100,AMD
Intel Core i7-4790S,CPU,5/1/14,22,65,177,1400,3100,Intel
AMD Ryzen 5 PRO 3500U,CPU,4/8/19,12,15,210,4940,2100,AMD
Intel Xeon E3-1280,CPU,4/3/11,32,95,216,1160,3500,Intel
